timestamp,lm399,temp_c,humidity
1516253532.55,6.885824,7.851,72.140
1516253535.56,6.885827,7.841,72.125
1516253539.55,6.885823,7.873,72.110
1516253542.55,6.885827,7.873,72.087
1516253545.55,6.885827,7.873,72.049
1516253549.55,6.885827,7.873,72.033
1516253552.55,6.885828,7.884,72.011
1516253555.55,6.885826,7.873,72.011
1516253559.55,6.885826,7.873,71.980
1516253562.55,6.885825,7.894,71.957
1516253566.55,6.885826,7.894,71.934
1516253569.55,6.885826,7.894,71.919
1516253572.55,6.885827,7.894,71.934
1516253576.54,6.885827,7.894,71.873
1516253579.54,6.885827,7.905,71.881
1516253582.54,6.885827,7.894,71.858
1516253586.54,6.885828,7.905,71.820
1516253589.54,6.885826,7.894,71.820
1516253592.54,6.885826,7.905,71.797
1516253596.54,6.885827,7.916,71.774
1516253599.54,6.885827,7.873,71.759
1516253602.54,6.885827,7.894,71.744
1516253606.54,6.885827,7.905,71.744
1516253609.54,6.885829,7.894,71.713
1516253612.54,6.885829,7.916,71.698
1516253616.54,6.885828,7.937,71.675
1516253619.53,6.885827,7.937,71.652
1516253623.53,6.885827,7.926,71.644
1516253626.54,6.885827,7.948,71.637
1516253629.53,6.885828,7.916,71.621
1516253633.53,6.885827,7.948,71.637
1516253636.53,6.885829,7.937,71.614
1516253639.53,6.885828,7.948,71.576
1516253643.53,6.885829,7.916,71.568
1516253646.53,6.885827,7.948,71.576
1516253649.53,6.885828,7.937,71.560
1516253653.53,6.885828,7.948,71.538
1516253656.53,6.885827,7.958,71.515
1516253659.53,6.885826,7.969,71.499
1516253663.53,6.885828,7.958,71.492
1516253666.52,6.885827,7.958,71.469
1516253669.52,6.885828,7.969,71.454
1516253673.52,6.885828,7.958,71.469
1516253676.52,6.885825,7.980,71.438
1516253680.52,6.885826,7.980,71.423
1516253683.52,6.885827,7.980,71.415
1516253686.52,6.885828,7.980,71.400
1516253690.52,6.885827,7.991,71.362
1516253693.52,6.885827,8.012,71.377
1516253696.52,6.885827,7.969,71.354
1516253700.52,6.885829,7.991,71.354
1516253703.52,6.885828,7.991,71.332
1516253706.52,6.885828,8.012,71.324
1516253710.51,6.885829,8.012,71.293
1516253713.51,6.885828,8.001,71.286
1516253716.51,6.885827,8.012,71.278
1516253720.51,6.885827,8.001,71.271
1516253723.51,6.885826,8.012,71.240
1516253726.51,6.885826,8.023,71.225
1516253730.51,6.885826,8.033,71.194
1516253733.51,6.885826,8.012,71.217
1516253737.51,6.885825,8.023,71.194
