timestamp,ambient_c,ambient_rh
1521233267.96,21.433,65.676
1521233269.57,21.439,65.678
1521233271.19,21.438,65.692
1521233272.80,21.438,65.699
1521233274.41,21.441,65.713
1521233276.02,21.446,65.725
1521233277.63,21.445,65.728
1521233279.24,21.442,65.745
1521233280.85,21.441,65.752
1521233282.46,21.439,65.759
1521233284.07,21.447,65.773
1521233285.68,21.447,65.782
1521233287.29,21.445,65.794
1521233288.90,21.439,65.794
1521233290.51,21.447,65.803
1521233292.12,21.441,65.818
1521233293.73,21.441,65.823
1521233295.34,21.443,65.824
1521233296.96,21.447,65.842
1521233298.57,21.447,65.849
1521233300.18,21.447,65.858
